"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Date
USA,"31,802,772",,"574,840 ",,"24,346,766",,"6,881,166","9,078","95,647","1,729","416,789,330","1,253,501","332,500,290 ",2021-04-10
Brazil,"13,375,414",,"348,934 ",,"11,791,885",,"1,234,595","8,318","62,582","1,633","28,600,000","133,817","213,724,704 ",2021-04-10
India,"13,205,926","+3,143","168,467 ",,"11,990,859","+2,919","1,046,600","8,944","9,498",121,"255,214,803","183,547","1,390,456,911 ",2021-04-10
France,"4,980,501",,"98,395 ",,"303,639",,"4,578,467","5,729","76,172","1,505","68,007,540","1,040,108","65,385,105 ",2021-04-10
Russia,"4,623,984",,"102,247 ",,"4,248,700",,"273,037","2,300","31,675",700,"123,000,000","842,565","145,982,840 ",2021-04-10
UK,"4,365,461",,"127,040 ",,"3,957,317",,"281,104",421,"64,046","1,864","134,289,127","1,970,169","68,161,226 ",2021-04-10
Turkey,"3,745,657",,"33,454 ",,"3,268,678",,"443,525","2,658","44,047",393,"40,994,845","482,077","85,037,969 ",2021-04-10
Italy,"3,736,526",,"113,579 ",,"3,086,586",,"536,361","3,603","61,870","1,881","52,480,874","868,989","60,393,047 ",2021-04-10
Spain,"3,347,512",,"76,328 ",,"3,095,922",,"175,262","2,050","71,576","1,632","43,458,915","929,229","46,768,779 ",2021-04-10
Germany,"2,974,110",,"78,689 ",,"2,661,500","+13,900","233,921","4,439","35,410",937,"51,559,277","613,868","83,990,855 ",2021-04-10
Poland,"2,528,006",,"57,427 ",,"2,107,776",,"362,803","3,376","66,853","1,519","12,807,584","338,695","37,814,548 ",2021-04-10
Colombia,"2,504,206",,"65,283 ",,"2,365,566",,"73,357","2,603","48,814","1,273","13,174,589","256,812","51,300,574 ",2021-04-10
Argentina,"2,497,881",,"57,350 ",,"2,203,926",,"236,605","3,718","54,880","1,260","9,451,754","207,661","45,515,363 ",2021-04-10
Mexico,"2,272,064","+5,045","207,020 ",+874,"1,804,913","+2,880","260,131","4,798","17,481","1,593","6,241,611","48,021","129,976,073 ",2021-04-10
Iran,"2,029,412",,"64,039 ",,"1,693,005",,"272,368","4,278","23,926",755,"13,494,296","159,093","84,820,190 ",2021-04-10
Ukraine,"1,823,674",,"36,381 ",,"1,395,104",,"392,189",177,"41,894",836,"8,568,004","196,829","43,530,191 ",2021-04-10
Peru,"1,628,519",,"54,285 ",,"1,547,807",,"26,427","2,313","48,868","1,629","9,876,422","296,366","33,325,110 ",2021-04-10
Czechia,"1,573,153",,"27,617 ",,"1,437,295",,"108,241","1,311","146,690","2,575","14,038,491","1,309,032","10,724,333 ",2021-04-10
Indonesia,"1,558,145",,"42,348 ",,"1,405,659",,"110,138",,"5,651",154,"13,280,778","48,162","275,751,213 ",2021-04-10
South Africa,"1,556,242",,"53,226 ",,"1,481,637",,"21,379",546,"25,988",889,"10,086,459","168,433","59,884,124 ",2021-04-10
Netherlands,"1,334,771",,"16,731 ",,N/A,N/A,N/A,785,"77,765",975,"10,795,845","628,976","17,164,165 ",2021-04-10
Chile,"1,060,421",,"24,108 ",,"991,676",,"44,637","3,075","55,108","1,253","11,751,801","610,715","19,242,680 ",2021-04-10
Canada,"1,045,278",,"23,251 ",,"954,017",,"68,010",928,"27,509",612,"28,725,621","755,993","37,997,200 ",2021-04-10
Romania,"998,555",,"24,867 ",,"896,573",,"77,115","1,496","52,176","1,299","7,630,875","398,724","19,138,239 ",2021-04-10
Belgium,"917,917","+4,860","23,390 ",+42,"59,165",+263,"835,362",911,"78,936","2,011","11,620,846","999,336","11,628,563 ",2021-04-10
