"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Date,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,Continent,New Cases/1M pop
Ukraine,"2,025,271","+7,930","42,323 ",+231,"1,572,528","+6,574","410,420",177,"46,537",973,"9,214,479","211,732","43,519,479 ",2021-04-25,"211,0285",Europe,182.0
Peru,"1,754,150",,"59,440 ",,"1,679,099",,"15,611","2,646","52,608","1,783","10,798,298","323,846","33,343,939 ",2021-04-25,195613,South America,
Indonesia,"1,641,194","+4,402","44,594 ",+94,"1,496,126","+3,804","100,474",,"5,949",162,"14,285,614","51,784","275,869,680 ",2021-04-25,"1686,18619",Asia,16.0
Czechia,"1,619,383","+1,302","28,962 ",+23,"1,524,146",+81,"66,275",742,"150,989","2,700","17,010,127","1,586,004","10,725,145 ",2021-04-25,73701,Europe,121.0
South Africa,"1,574,370",,"54,125 ",,"1,500,360",,"19,885",546,"26,277",903,"10,508,510","175,391","59,914,768 ",2021-04-25,"381,1076",Africa,
Netherlands,"1,461,137","+8,013","17,049 ",+11,"1,219,171","+7,540","224,917",835,"85,120",993,"12,274,847","715,079","17,165,714 ",2021-04-25,"121,0071",Europe,467.0
Canada,"1,175,776","+3,772","23,951 ",+24,"1,065,781","+4,075","86,044","1,312","30,933",630,"30,705,297","807,806","38,010,747 ",2021-04-25,"321,5871",North America,99.0
Chile,"1,169,536","+6,725","25,856 ",+114,"1,099,918","+6,984","43,762","3,353","60,757","1,343","12,777,259","663,775","19,249,397 ",2021-04-25,167442,South America,349.0
Romania,"1,046,264","+1,542","27,394 ",+127,"972,476","+3,730","46,394","1,358","54,684","1,432","8,110,760","423,915","19,133,008 ",2021-04-25,186982,Europe,81.0
Iraq,"1,031,322","+6,034","15,257 ",+40,"905,301","+7,335","110,764",526,"25,184",373,"9,116,609","222,621","40,951,234 ",2021-04-25,"402,6844",Asia,147.0
Philippines,"997,523","+8,162","16,783 ",+109,"903,665","+20,509","77,075",750,"9,006",152,"11,517,226","103,981","110,762,901 ",2021-04-25,"1116,60010",Asia,74.0
Belgium,"972,041","+3,934","23,990 ",+36,"825,136","+6,270","122,915",901,"83,576","2,063","12,253,776","1,053,578","11,630,625 ",2021-04-25,124851,Europe,338.0
Sweden,"938,343",,"13,923 ",,"772,336","+12,666","152,084",403,"92,444","1,372","8,482,276","835,657","10,150,424 ",2021-04-25,117291,Europe,
Israel,"838,006",+32,"6,350 ",,"829,851",+40,"1,805",153,"91,111",690,"14,058,462","1,528,494","9,197,590 ",2021-04-25,"111,4481",Asia,3.0
Portugal,"833,964",,"16,959 ",,"792,377",,"24,628",98,"81,982","1,667","10,226,293","1,005,290","10,172,484 ",2021-04-25,126001,Europe,
Pakistan,"795,627","+5,611","17,117 ",+118,"689,812","+3,324","88,698","4,826","3,546",76,"11,538,771","51,430","224,359,546 ",2021-04-25,"28213,10719",Asia,25.0
Hungary,"769,518","+2,328","26,625 ",+205,"482,207","+3,884","260,686",790,"79,822","2,762","5,280,600","547,759","9,640,367 ",2021-04-25,133622,Europe,241.0
Bangladesh,"745,322","+2,922","11,053 ",+101,"657,452","+4,301","76,817",,"4,489",67,"5,345,501","32,198","166,020,552 ",2021-04-25,"22315,02031",Asia,18.0
Jordan,"702,154","+1,731","8,615 ",+52,"668,337","+3,565","25,202",729,"68,268",838,"6,610,353","642,698","10,285,314 ",2021-04-25,"151,1942",Asia,168.0
Serbia,"679,667","+1,695","6,227 ",+31,"619,577","+4,366","53,863",202,"78,045",715,"3,775,363","433,517","8,708,685 ",2021-04-25,"131,3992",Europe,195.0
Switzerland,"646,509",,"10,594 ",,"577,630",,"58,285",238,"74,260","1,217","6,723,694","772,304","8,706,020 ",2021-04-25,138221,Europe,
Austria,"608,979","+2,025","10,087 ",+17,"573,155","+2,471","25,737",522,"67,304","1,115","30,688,612","3,391,699","9,048,153 ",2021-04-25,158970,Europe,224.0
Japan,"562,141","+5,439","9,913 ",+59,"501,609","+3,367","50,619",864,"4,456",79,"11,426,388","90,570","126,160,972 ",2021-04-25,"22412,72711",Asia,43.0
Lebanon,"519,615",,"7,118 ",,"445,163",,"67,334",671,"76,408","1,047","3,903,562","574,009","6,800,529 ",2021-04-25,139552,Asia,
UAE,"510,738","+1,813","1,571 ",+2,"492,109","+1,652","17,058",,"51,139",157,"43,116,566","4,317,150","9,987,276 ",2021-04-25,"206,3570",Asia,182.0
Morocco,"509,037",,"8,988 ",,"494,872",,"5,177",222,"13,660",241,"6,214,771","166,771","37,265,257 ",2021-04-25,"734,1466",Africa,
Saudi Arabia,"412,216",+953,"6,900 ",+13,"395,557","+1,028","9,759","1,246","11,693",196,"16,586,438","470,500","35,252,814 ",2021-04-25,"865,1092",Asia,27.0
Bulgaria,"397,100",,"15,859 ",,"324,386",,"56,855",738,"57,503","2,296","2,441,727","353,578","6,905,767 ",2021-04-25,174353,Europe,
Malaysia,"392,942","+2,690","1,436 ",+10,"367,753","+1,853","23,753",283,"12,016",44,"9,066,170","277,235","32,702,083 ",2021-04-25,"8322,7734",Asia,82.0
Slovakia,"379,911",+435,"11,495 ",+37,"255,300",,"113,116",357,"69,558","2,105","2,578,835","472,159","5,461,794 ",2021-04-25,144752,Europe,80.0
Ecuador,"372,754",,"18,158 ",,"309,541",,"45,055",638,"20,871","1,017","1,259,292","70,509","17,859,984 ",2021-04-25,4898414,South America,
Panama,"362,696",,"6,207 ",,"352,523",,"3,966",105,"83,001","1,420","2,348,261","537,390","4,369,753 ",2021-04-25,127042,North America,
Belarus,"352,950","+1,276","2,493 ",+10,"343,557","+1,455","6,900",,"37,362",264,"5,778,401","611,679","9,446,792 ",2021-04-25,"273,7892",Europe,135.0
Greece,"333,129","+1,399","10,007 ",+57,"291,153","+3,931","31,969",816,"32,089",964,"7,848,074","755,964","10,381,546 ",2021-04-25,"311,0371",Europe,135.0
Croatia,"322,626","+1,254","6,854 ",+39,"300,492","+2,282","15,280",240,"78,986","1,678","1,759,208","430,691","4,084,619 ",2021-04-25,135962,Europe,307.0
Azerbaijan,"311,465",,"4,342 ",,"276,934",,"30,189",,"30,496",425,"3,178,044","311,166","10,213,348 ",2021-04-25,"332,3523",Asia,
Kazakhstan,"306,400","+2,830","3,550 ",+15,"261,647","+1,784","41,203",221,"16,161",187,"9,828,632","518,421","18,958,790 ",2021-04-25,"625,3412",Asia,149.0
Georgia,"303,751",+966,"4,025 ",+18,"285,971","+1,222","13,755",,"76,263","1,011","4,059,312","1,019,177","3,982,930 ",2021-04-25,139901,Asia,243.0
Nepal,"300,119","+3,032","3,164 ",+28,"277,573",+450,"19,382",,"10,153",107,"2,405,017","81,359","29,560,679 ",2021-04-25,"989,34312",Asia,103.0
Tunisia,"298,572",,"10,231 ",,"248,013",,"40,328",493,"25,050",858,"1,273,377","106,836","11,918,933 ",2021-04-25,"401,1659",Africa,
Bolivia,"297,185","+1,293","12,812 ",+29,"244,881",+802,"39,492",71,"25,181","1,086","1,108,146","93,895","11,802,028 ",2021-04-25,4092111,South America,110.0
Palestine,"290,972",+713,"3,167 ",+16,"262,602","+1,952","25,203",151,"55,987",609,"1,714,206","329,837","5,197,130 ",2021-04-25,"181,6413",Asia,137.0
Kuwait,"265,404",,"1,511 ",,"248,633",,"15,260",219,"61,412",350,"2,272,818","525,906","4,321,719 ",2021-04-25,"162,8602",Asia,
Paraguay,"265,296",,"5,802 ",,"217,685",,"41,809",521,"36,828",805,"1,058,946","147,003","7,203,559 ",2021-04-25,"271,2427",South America,
Dominican Republic,"264,863",+919,"3,454 ",+3,"221,825",+531,"39,584",177,"24,219",316,"1,393,432","127,415","10,936,165 ",2021-04-25,"413,1668",North America,84.0
Ethiopia,"250,955",,"3,531 ",,"190,013",,"57,411",987,"2,140",30,"2,544,095","21,696","117,260,576 ",2021-04-25,"46733,20946",Africa,
Moldova,"248,898",,"5,709 ",,"236,774",,"6,415",230,"61,818","1,418","966,184","239,967","4,026,325 ",2021-04-25,167054,Europe,
Denmark,"247,622",+612,"2,475 ",+1,"235,622",+557,"9,525",40,"42,629",426,"35,279,024","6,073,388","5,808,788 ",2021-04-25,"232,3470",Europe,105.0
Ireland,"246,633",+429,"4,873 ",+1,"228,455",+564,"13,305",45,"49,500",978,"4,387,769","880,633","4,982,515 ",2021-04-25,"201,0221",Europe,86.0
Lithuania,"241,297",+729,"3,848 ",+5,"217,911",+132,"19,538",192,"89,660","1,430","2,714,675","1,008,708","2,691,240 ",2021-04-25,116991,Europe,271.0
Costa Rica,"238,760",,"3,143 ",,"199,982",,"35,635",303,"46,525",612,"932,115","181,633","5,131,869 ",2021-04-25,"211,6336",North America,
Slovenia,"237,028",+416,"4,208 ",+5,"222,358",+544,"10,462",157,"114,001","2,024","1,159,199","557,529","2,079,171 ",2021-04-25,94942,Europe,200.0
Egypt,"221,570",,"12,998 ",,"166,457",,"42,115",90,"2,133",125,"2,677,262","25,769","103,895,001 ",2021-04-25,"4697,99339",Africa,
Guatemala,"221,307",,"7,395 ",,"195,802",,"18,110",5,"12,171",407,"1,219,088","67,043","18,183,565 ",2021-04-25,"822,45915",North America,
Armenia,"213,288",+410,"4,018 ",+17,"194,080",+720,"15,190",,"71,869","1,354","963,225","324,564","2,967,749 ",2021-04-25,147393,Asia,138.0
Honduras,"206,381",+685,"5,100 ",+5,"77,539",+8,"123,742",573,"20,572",508,"604,804","60,287","10,032,126 ",2021-04-25,"491,96717",North America,68.0
Qatar,"201,496",,418 ,,"179,974",,"21,104",435,"71,763",149,"1,875,805","668,068","2,807,805 ",2021-04-25,"146,7171",Asia,
Bosnia and Herzegovina,"194,733",,"8,203 ",,"153,408",,"33,122",,"59,658","2,513","887,506","271,893","3,264,175 ",2021-04-25,173984,Europe,
Venezuela,"190,523",,"2,028 ",,"173,097",,"15,398",293,"6,716",71,"3,359,014","118,399","28,370,293 ",2021-04-25,"14913,9898",South America,
Oman,"188,816","+3,538","1,977 ",+35,"168,770","+3,719","18,069",272,"36,232",379,"1,550,000","297,427","5,211,358 ",2021-04-25,"282,6363",Asia,679.0
Uruguay,"182,326",,"2,283 ",,"151,669",,"28,374",519,"52,340",655,"1,720,603","493,927","3,483,519 ",2021-04-25,"191,5262",South America,
Libya,"175,286",+534,"2,996 ",+49,"160,643",+530,"11,647",,"25,232",431,"945,732","136,135","6,946,996 ",2021-04-25,"402,3197",Africa,77.0
Bahrain,"170,335",,620 ,,"159,198",,"10,517",99,"97,385",354,"3,997,605","2,285,538","1,749,087 ",2021-04-25,"102,8210",Asia,
Nigeria,"164,684",,"2,061 ",,"154,687",,"7,936",11,783,10,"1,870,915","8,898","210,260,754 ",2021-04-25,"1,277102,019112",Africa,
Kenya,"156,318",,"2,603 ",,"106,093",,"47,622",236,"2,856",48,"1,631,699","29,815","54,727,751 ",2021-04-25,"35021,02534",Africa,
North Macedonia,"150,274",,"4,650 ",,"128,496",,"17,128",124,"72,133","2,232","703,569","337,718","2,083,304 ",2021-04-25,144483,Europe,
Myanmar,"142,712",+8,"3,206 ",,"131,930",+5,"7,576",,"2,609",59,"2,566,064","46,906","54,706,074 ",2021-04-25,"38317,06421",Asia,0.1
Albania,"130,409",,"2,372 ",,"105,016",,"23,021",18,"45,356",825,"619,922","215,607","2,875,238 ",2021-04-25,"221,2125",Europe,
Algeria,"120,736",,"3,198 ",,"84,167",,"33,371",19,"2,714",72,"230,861","5,189","44,491,487 ",2021-04-25,"36913,912193",Africa,
Estonia,"120,000",,"1,137 ",,"107,298",,"11,565",61,"90,412",857,"1,259,354","948,837","1,327,261 ",2021-04-25,"111,1671",Europe,
S. Korea,"118,887",+644,"1,813 ",+1,"108,475",+694,"8,599",136,"2,317",35,"8,654,791","168,693","51,305,094 ",2021-04-25,"43228,2986",Asia,13.0
Latvia,"115,316",+361,"2,102 ",+1,"105,254",+700,"7,960",78,"61,694","1,125","2,215,842","1,185,471","1,869,166 ",2021-04-25,168891,Europe,193.0
Norway,"110,497",+107,736 ,,"88,952",,"20,809",38,"20,254",135,"5,084,200","931,913","5,455,660 ",2021-04-25,"497,4131",Europe,20.0
Sri Lanka,"100,586",,642 ,+4,"94,311",+156,"5,633",,"4,681",30,"2,374,627","110,519","21,486,239 ",2021-04-25,"21433,4689",Asia,
Cuba,"100,318",,581 ,,"93,948",,"5,789",66,"8,861",51,"3,495,722","308,782","11,320,987 ",2021-04-25,"11319,4853",North America,
Montenegro,"96,499",,"1,463 ",,"92,377",,"2,659",69,"153,629","2,329","368,139","586,086","628,131 ",2021-04-25,74292,Europe,
Kyrgyzstan,"93,831",+228,"1,582 ",+4,"88,066",+186,"4,183",25,"14,193",239,"964,218","145,844","6,611,308 ",2021-04-25,"704,1797",Asia,34.0
Ghana,"92,037",+56,777 ,,"89,841",+112,"1,419",8,"2,913",25,"1,061,121","33,583","31,596,954 ",2021-04-25,"34340,66530",Africa,2.0
Zambia,"91,358",+41,"1,246 ",+1,"89,574",+171,538,39,"4,860",66,"1,378,946","73,353","18,798,701 ",2021-04-25,"20615,08714",Africa,2.0
Uzbekistan,"89,027",+348,643 ,+1,"85,764",+228,"2,620",23,"2,629",19,"1,377,915","40,692","33,862,069 ",2021-04-25,"38052,66325",Asia,10.0
Finland,"85,804",+197,903 ,,"46,000",,"38,901",31,"15,467",163,"4,385,992","790,593","5,547,723 ",2021-04-25,"656,1441",Europe,36.0
Mozambique,"69,643",,807 ,,"62,452",,"6,384",43,"2,179",25,"511,476","16,003","31,960,832 ",2021-04-25,"45939,60562",Africa,
El Salvador,"68,468",,"2,098 ",,"64,405",,"1,965",33,"10,513",322,"902,426","138,562","6,512,803 ",2021-04-25,"953,1047",North America,
Luxembourg,"66,007",,790 ,,"62,183",,"3,034",30,"104,076","1,246","2,606,391","4,109,594","634,221 ",2021-04-25,108030,Europe,
Cameroon,"65,998",,991 ,,"57,821",,"7,186",385,"2,437",37,"1,257,949","46,455","27,078,842 ",2021-04-25,"41027,32522",Africa,
Cyprus,"61,576",,298 ,,"39,061",,"22,217",70,"50,701",245,"4,622,694","3,806,262","1,214,497 ",2021-04-25,"204,0750",Asia,
Singapore,"61,006",+40,30 ,,"60,662",+33,314,1,"10,362",5,"9,278,789","1,575,962","5,887,699 ",2021-04-25,"97196,2571",Asia,7.0
Afghanistan,"59,015",+168,"2,592 ",+10,"52,489",+97,"3,934","1,124","1,489",65,"395,395","9,976","39,636,165 ",2021-04-25,"67215,292100",Asia,4.0
Thailand,"55,460","+2,438",140 ,+11,"31,113",+547,"24,207",1,793,2,"8,124,896","116,165","69,942,444 ",2021-04-25,"1,261499,5899",Asia,35.0
Namibia,"47,671",,624 ,,"45,334",,"1,713",36,"18,491",242,"380,088","147,428","2,578,122 ",2021-04-25,"544,1327",Africa,
Botswana,"45,855",,691 ,,"41,338",,"3,826",1,"19,186",289,"982,095","410,919","2,389,998 ",2021-04-25,"523,4592",Africa,
Ivory Coast,"45,820",,281 ,,"45,343",,196,,"1,703",10,"573,182","21,304","26,905,163 ",2021-04-25,"58795,74847",Africa,
Jamaica,"44,867",,756 ,,"20,391",,"23,720",26,"15,098",254,"323,381","108,821","2,971,674 ",2021-04-25,"663,9319",North America,
Uganda,"41,619",+44,341 ,,"40,898",,380,24,887,7,"1,004,127","21,409","46,902,951 ",2021-04-25,"1,127137,54547",Africa,0.9
Senegal,"40,135",+53,"1,102 ",+3,"38,861",+46,172,11,"2,347",64,"473,584","27,696","17,099,611 ",2021-04-25,"42615,51736",Africa,3.0
Zimbabwe,"38,064",,"1,556 ",,"35,101",,"1,407",12,"2,531",103,"404,405","26,892","15,038,159 ",2021-04-25,"3959,66537",Africa,
Madagascar,"35,746",+484,599 ,+6,"28,429",+297,"6,718",384,"1,265",21,"176,625","6,249","28,265,015 ",2021-04-25,"79147,187160",Africa,17.0
Malawi,"34,011",,"1,147 ",,"31,899",,965,15,"1,742",59,"230,117","11,784","19,528,511 ",2021-04-25,"57417,02685",Africa,
Sudan,"32,695",,"2,300 ",,"26,411",,"3,984",,732,51,"232,965","5,215","44,675,565 ",2021-04-25,"1,36619,424192",Africa,
Mongolia,"30,483","+1,264",78 ,+4,"15,403",+658,"15,002",64,"9,179",23,"2,643,658","796,037","3,321,022 ",2021-04-25,"10942,5771",Asia,381.0
Malta,"30,174",+25,413 ,+1,"29,296",+35,465,,"68,190",933,"858,830","1,940,863","442,499 ",2021-04-25,"151,0711",Europe,56.0
Australia,"29,661",+5,910 ,,"26,473",+3,"2,278",,"1,152",35,"16,574,418","643,922","25,739,779 ",2021-04-25,"86828,2852",Australia/Oceania,0.2
DRC,"29,576",+78,756 ,,"26,156",,"2,664",,322,8,"147,505","1,608","91,752,635 ",2021-04-25,"3,102121,366622",Africa,0.9
Maldives,"27,621",,71 ,,"24,234",,"3,316",90,"50,381",130,"705,374","1,286,604","548,245 ",2021-04-25,"207,7221",Asia,
Angola,"25,492",,577 ,,"23,092",,"1,823",24,757,17,"452,189","13,423","33,688,788 ",2021-04-25,"1,32258,38675",Africa,
Rwanda,"24,535",,328 ,,"22,866",,"1,341",6,"1,857",25,"1,284,779","97,249","13,211,198 ",2021-04-25,"53840,27810",Africa,
Gabon,"22,433",,138 ,,"19,074",,"3,221",22,"9,891",61,"710,576","313,289","2,268,117 ",2021-04-25,"10116,4363",Africa,
Cabo Verde,"22,094",,201 ,,"19,109",,"2,784",23,"39,391",358,"143,700","256,202","560,885 ",2021-04-25,"252,7904",Africa,
Syria,"21,999",,"1,526 ",,"15,731",,"4,742",,"1,233",86,"103,566","5,804","17,843,646 ",2021-04-25,"81111,693172",Asia,
Guinea,"21,885",,140 ,,"19,194",,"2,551",24,"1,631",10,"425,451","31,703","13,419,855 ",2021-04-25,"61395,85632",Africa,
Mayotte,"19,849",,169 ,,"2,964",,"16,716",5,"71,367",608,"165,683","595,712","278,126 ",2021-04-25,"141,6462",Africa,
Réunion,"19,343",,141 ,,"17,653",,"1,549",36,"21,480",157,"100,098","111,158","900,501 ",2021-04-25,"476,3879",Africa,
French Guiana,"18,826",,98 ,,"9,995",,"8,733",14,"61,740",321,"208,396","683,436","304,924 ",2021-04-25,"163,1111",South America,
French Polynesia,"18,734",,141 ,,"4,842",,"13,751",4,"66,379",500,"26,355","93,382","282,227 ",2021-04-25,"152,00211",Australia/Oceania,
Eswatini,"18,440",,671 ,,"17,737",,32,3,"15,762",574,"181,570","155,200","1,169,908 ",2021-04-25,"631,7446",Africa,
Mauritania,"18,240",,454 ,,"17,570",,216,14,"3,841",96,"227,730","47,962","4,748,180 ",2021-04-25,"26010,45921",Africa,
Guadeloupe,"13,669",,185 ,,"2,242",,"11,242",23,"34,157",462,"171,662","428,962","400,180 ",2021-04-25,"292,1632",North America,
Mali,"13,560",,462 ,,"7,989",,"5,109",,654,22,"248,587","11,997","20,720,546 ",2021-04-25,"1,52844,85083",Africa,
Somalia,"13,459",,689 ,,"5,593",,"7,177",,828,42,"107,545","6,618","16,250,427 ",2021-04-25,"1,20723,586151",Africa,
Tajikistan,"13,308",,90 ,,"13,218",,0,,"1,370",9,,,"9,710,604 ",2021-04-25,"730107,896",Asia,
Burkina Faso,"13,252",+21,156 ,,"12,907",+20,189,,620,7,"178,354","8,348","21,365,116 ",2021-04-25,"1,612136,956120",Africa,1.0
Andorra,"13,024",,124 ,,"12,458",,442,24,"168,343","1,603","193,595","2,502,327","77,366 ",2021-04-25,66240,Europe,
Haiti,"12,958",,251 ,,"11,945",,762,,"1,125",22,"60,085","5,218","11,515,210 ",2021-04-25,"88945,877192",North America,
Togo,"12,787",,121 ,,"10,699",,"1,967",,"1,516",14,"305,687","36,239","8,435,318 ",2021-04-25,"66069,71328",Africa,
Guyana,"12,600",,279 ,,"10,702",,"1,619",16,"15,957",353,"116,046","146,961","789,637 ",2021-04-25,"632,8307",South America,
Belize,"12,599",,321 ,,"12,168",,110,1,"31,227",796,"113,675","281,746","403,466 ",2021-04-25,"321,2574",North America,
Curaçao,"12,087",,103 ,,"10,494",,"1,490",22,"73,415",626,"91,244","554,206","164,639 ",2021-04-25,"141,5982",North America,
Hong Kong,"11,737",+6,209 ,,"11,354",+14,174,3,"1,555",28,"11,193,673","1,483,321","7,546,360 ",2021-04-25,"64336,1071",Asia,0.8
Djibouti,"10,746",,132 ,,"10,261",,353,,"10,750",132,"146,903","146,956","999,637 ",2021-04-25,"937,5737",Africa,
Lesotho,"10,728",+5,316 ,,"6,267",,"4,145",,"4,976",147,"77,329","35,866","2,156,037 ",2021-04-25,"2016,82328",Africa,2.0
Papua New Guinea,"10,670",+68,102 ,,"8,369",+68,"2,199",,"1,175",11,"86,619","9,535","9,084,053 ",2021-04-25,"85189,059105",Australia/Oceania,7.0
Martinique,"10,611",,68 ,,98,,"10,445",24,"28,294",181,"149,454","398,514","375,028 ",2021-04-25,"355,5153",North America,
South Sudan,"10,532",+17,114 ,,"10,250",,168,,932,10,"147,670","13,068","11,300,129 ",2021-04-25,"1,07399,12477",Africa,2.0
Aruba,"10,522",,98 ,,"10,121",,303,14,"98,213",915,"144,565","1,349,372","107,135 ",2021-04-25,"101,0931",North America,
Congo,"10,084",,139 ,,"8,208",,"1,737",,"1,792",25,"92,500","16,437","5,627,651 ",2021-04-25,"55840,48761",Africa,
Bahamas,"10,050",+74,196 ,,"9,262",+47,592,4,"25,360",495,"84,637","213,572","396,293 ",2021-04-25,"392,0225",North America,187.0
Suriname,"9,996",,195 ,,"9,052",,749,17,"16,917",330,"49,079","83,058","590,898 ",2021-04-25,"593,03012",South America,
Cambodia,"9,975",+616,74 ,+3,"3,400",+190,"6,501",,590,4,"871,829","51,568","16,906,416 ",2021-04-25,"1,695228,46519",Asia,36.0
Trinidad and Tobago,"9,592",+105,158 ,+1,"8,129",+37,"1,305",8,"6,836",113,"124,699","88,869","1,403,173 ",2021-04-25,"1468,88111",North America,75.0
Benin,"7,720",,97 ,,"7,510",,113,35,624,8,"581,843","47,002","12,379,185 ",2021-04-25,"1,604127,62021",Africa,
Equatorial Guinea,"7,559",,107 ,,"7,097",,355,5,"5,249",74,"120,652","83,784","1,440,041 ",2021-04-25,"19113,45812",Africa,
Nicaragua,"6,835",,181 ,,"4,225",,"2,429",,"1,022",27,,,"6,688,453 ",2021-04-25,"97936,953",North America,
Iceland,"6,390",,29 ,,"6,227",,134,4,"18,627",85,"585,811","1,707,695","343,042 ",2021-04-25,"5411,8291",Europe,
CAR,"6,224",,85 ,,"5,112",,"1,027",2,"1,271",17,"40,907","8,352","4,897,703 ",2021-04-25,"78757,620120",Africa,
Yemen,"6,137",+32,"1,187 ",+12,"2,546",+60,"2,404",23,202,39,"22,934",755,"30,356,421 ",2021-04-25,"4,94625,5741,324",Asia,1.0
Gambia,"5,857",,173 ,,"5,284",,400,3,"2,370",70,"62,356","25,231","2,471,358 ",2021-04-25,"42214,28540",Africa,
Seychelles,"5,206",,26 ,,"4,675",,505,,"52,670",263,"21,504","217,559","98,842 ",2021-04-25,"193,8025",Africa,
Niger,"5,158",,191 ,,"4,831",,136,18,207,8,"97,154","3,900","24,910,111 ",2021-04-25,"4,829130,419256",Africa,
San Marino,"5,047",,89 ,,"4,839",,119,5,"148,489","2,618","59,601","1,753,538","33,989 ",2021-04-25,73821,Europe,
Chad,"4,752",,169 ,,"4,384",,199,,283,10,"111,158","6,614","16,805,445 ",2021-04-25,"3,53699,441151",Africa,
Saint Lucia,"4,486",+23,70 ,,"4,300",+10,116,,"24,340",380,"39,554","214,607","184,309 ",2021-04-25,"412,6335",North America,125.0
Gibraltar,"4,283",,94 ,,"4,183",,6,1,"127,156","2,791","230,550","6,844,699","33,683 ",2021-04-25,83580,Europe,
Channel Islands,"4,111",,86 ,,"3,956",,69,1,"23,470",491,"454,413","2,594,229","175,163 ",2021-04-25,"432,0370",Europe,
Sierra Leone,"4,044",,79 ,,"2,967",,998,,499,10,"119,155","14,696","8,108,067 ",2021-04-25,"2,005102,63468",Africa,
Comoros,"3,829",,146 ,,"3,650",,33,,"4,329",165,,,"884,564 ",2021-04-25,"2316,059",Africa,
Barbados,"3,824",+4,44 ,,"3,726",+8,54,,"13,293",153,"151,482","526,599","287,661 ",2021-04-25,"756,5382",North America,14.0
Burundi,"3,805",,6 ,,773,,"3,026",,313,0.5,"90,019","7,393","12,175,856 ",2021-04-25,"3,2002,029,309135",Africa,
Guinea-Bissau,"3,724",,67 ,,"3,237",,420,9,"1,857",33,"62,741","31,284","2,005,537 ",2021-04-25,"53929,93332",Africa,
Eritrea,"3,605",,10 ,,"3,410",,185,,"1,005",3,"23,693","6,607","3,586,185 ",2021-04-25,"995358,619151",Africa,
Liechtenstein,"2,884",+18,57 ,,"2,724",,103,7,"75,464","1,491","32,252","843,918","38,217 ",2021-04-25,136701,Europe,471.0
Vietnam,"2,843",+10,35 ,,"2,516",+26,292,,29,0.4,"2,598,753","26,505","98,049,386 ",2021-04-25,"34,4882,801,41138",Asia,0.1
New Zealand,"2,601",,26 ,,"2,542",,33,,520,5,"1,992,707","398,374","5,002,100 ",2021-04-25,"1,923192,3883",Australia/Oceania,
Monaco,"2,429",,31 ,,"2,327",,71,1,"61,544",785,"51,953","1,316,332","39,468 ",2021-04-25,"161,2731",Europe,
Turks and Caicos,"2,376",,17 ,,"2,326",,33,2,"60,704",434,"48,488","1,238,803","39,141 ",2021-04-25,"162,3021",North America,
Bermuda,"2,335",+20,23 ,,"1,636",+64,676,28,"37,607",370,"233,647","3,763,038","62,090 ",2021-04-25,"272,7000",North America,322.0
Sao Tome and Principe,"2,298",,35 ,,"2,234",,29,,"10,330",157,"12,597","56,628","222,450 ",2021-04-25,"976,35618",Africa,
Sint Maarten,"2,215",,27 ,,"2,175",,13,1,"51,189",624,"26,322","608,306","43,271 ",2021-04-25,"201,6032",North America,
Liberia,"2,097",,85 ,,"1,940",,72,2,407,16,"93,591","18,160","5,153,617 ",2021-04-25,"2,45860,63155",Africa,
Timor-Leste,"1,897",+89,3 ,,878,+26,"1,016",,"1,417",2,"61,902","46,239","1,338,747 ",2021-04-25,"706446,24922",Asia,66.0
St. Vincent Grenadines,"1,830",,10 ,,"1,711",,109,2,"16,453",90,"44,359","398,815","111,227 ",2021-04-25,"6111,1233",North America,
Saint Martin,"1,720",,12 ,,"1,399",,309,7,"43,878",306,"27,588","703,776","39,200 ",2021-04-25,"233,2671",North America,
Isle of Man,"1,586",+1,29 ,,"1,545",,12,1,"18,572",340,"44,761","524,140","85,399 ",2021-04-25,"542,9452",Europe,12.0
Caribbean Netherlands,"1,554",,15 ,,"1,462",,77,,"58,817",568,"10,025","379,433","26,421 ",2021-04-25,"171,7613",North America,
Antigua and Barbuda,"1,227",,31 ,,"1,002",,194,4,"12,446",314,"16,493","167,294","98,587 ",2021-04-25,"803,1806",North America,
Mauritius,"1,206",,16 ,,"1,040",+11,150,,947,13,"358,675","281,648","1,273,485 ",2021-04-25,"1,05679,5934",Africa,
Taiwan,"1,100",+3,12 ,,"1,045",,43,,46,0.5,"513,203","21,516","23,851,847 ",2021-04-25,"21,6831,987,65446",Asia,0.1
Bhutan,"1,022",+4,1 ,,927,,94,,"1,313",1,"691,560","888,325","778,499 ",2021-04-25,"762778,4991",Asia,5.0
St. Barth,958,,1 ,,462,,495,,"96,758",101,"26,385","2,664,882","9,901 ",2021-04-25,"109,9010",North America,
Diamond Princess,712,,13 ,,699,,0,,,,,, ,2021-04-25,,,
Faeroe Islands,663,,1 ,,661,,1,,"13,527",20,"250,852","5,117,966","49,014 ",2021-04-25,"7449,0140",Europe,
Cayman Islands,531,,2 ,,509,,20,,"8,003",30,"87,503","1,318,849","66,348 ",2021-04-25,"12533,1741",North America,
